Infrastructure_Age,Distance_to_TreatmentPlant,Population_Density,Population_Impacted,Repair_Team_Availability,Local_Authority_Responsiveness,Priority_Level,lat,lon,Scenario,Turbidity,pH,Conductivity,Organic_Carbon,ORP,Dissolved_Oxygen,Flow_Rate,Pressure,Temperature,Sensor_Fault,timestamp_year,timestamp_month,timestamp_day,timestamp_hour,weekday,Failure_Risk_Score,Potability
5,28.650116949520346,1029,199013,2,0.7541088922567148,5,-1.808211707025633,29.583832671809688,pipe_leak,5.063395141807334,7.588338371187301,369.13094595269075,10.592788268899806,219.11817170591485,5.520655654467765,9.26461435224412,4.947175743860686,25.18852438013011,0,2024,2,8,17,3,0.12,0
39,29.718288628488505,4951,187781,4,0.5012159165383628,5,-1.781260059809533,29.89575711996302,normal,1.3739086797793367,7.066030417173664,342.9369313588976,8.333720378147788,278.3114572976307,5.884369268511866,50.075648127334276,19.454424019109915,25.209099082026682,0,2025,10,8,7,2,0.0,1
33,25.078409729233684,255,192638,3,0.6008064849833616,2,-1.7821446644637757,30.090689618158724,chemical_contamination,2.1651934676040394,7.16273620269484,821.136864088365,14.410860141804333,134.5572770157588,2.493063522502833,4.080918378047401,5.898493550668164,31.1300514795539,0,2024,5,11,16,5,0.36,0
22,13.594575294587035,1516,189530,0,0.7337419916856037,3,-1.577153542276275,29.641681197016613,pipe_leak,8.074490309846675,6.920792784888801,381.0409646490276,13.933854665724416,170.16714006218783,4.396965231890354,13.378138631023624,5.733222723931283,25.637052535017684,0,2022,8,16,19,1,0.24,0
22,16.648576653150688,2853,176734,2,0.29204643942499564,5,-1.7063979500158404,30.076214327529286,normal,1.8628224452017894,6.92956356597227,430.17116621311385,6.351197067897504,274.1807139568239,6.530229262782723,28.991344914997672,13.25179341912145,22.18514833003329,0,2024,3,7,18,3,0.0,1
43,15.347555801991493,4562,107248,1,0.12910562193984032,3,-1.8471924173636316,29.87303823887442,heavy_rain,16.210341890964298,6.5643498980517565,292.41540192521984,6.724723191325721,59.636504503315166,6.568668356610742,47.15575919476471,18.146736908600925,23.407877890173502,0,2022,11,10,6,3,0.28,0
5,5.092168400478505,3685,141124,3,0.1731543266691089,3,-1.6770216203186208,29.633941323941364,normal,2.556449325553889,7.5690761347417945,398.7949111040125,8.13616107372476,267.40802857036715,6.007875230584064,37.0306625278784,15.93110096990487,27.73127511213138,0,2023,8,5,7,5,0.0,1
35,25.705218045248245,4499,50248,5,0.38512175661199854,5,-1.616214059181055,29.662486589844868,normal,2.6710033165120235,7.553615705668242,328.3269390514137,10.13423779657858,259.9882970584567,5.649883956729245,43.57194799984867,17.07678726365762,20.839552337538883,0,2026,12,9,22,2,0.0,1
11,20.43583263934786,2239,139781,5,0.021208541417970905,4,-1.82216450252025,29.741312423215753,normal,1.119777146917931,7.5830706021103085,449.91084000776806,11.421594289152392,282.8923510354778,5.067861449806511,20.887372755548473,10.236719456399404,33.30496372358146,0,2024,5,3,1,4,0.0,1
5,19.319100677574042,4283,147891,2,0.8574130092071031,1,-1.8945074216097613,29.870947435380593,normal,2.4980455294958284,6.641844605552494,417.28439239416196,8.55126767211437,257.86865025517733,6.053648620155078,39.74154254317956,17.429426536415,28.70565077648877,0,2024,12,14,13,5,0.0,1
